time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-23T03:27:31.810Z,40.2828331,-124.2963333,9.25,3.3,ml,15,142,0.0349,0.08,nc,nc73201166,2019-06-23T19:08:05.164Z,"5km SSW of Petrolia, CA",earthquake,0.47,0.4,0.245,7,automatic,nc,nc
2019-06-23T02:12:27.402Z,43.9496,-128.2448,10,3.1,ml,,270,3.041,0.73,us,us600044r5,2019-06-23T02:25:11.040Z,"Off the coast of Oregon",earthquake,12.4,2,0.052,48,reviewed,us,us
2019-06-23T01:52:05.880Z,19.1443,-66.5121,27,2.86,md,14,286,0.6674,0.36,pr,pr2019174006,2019-06-23T05:44:48.950Z,"75km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.48,14.84,0.51,13,reviewed,pr,pr
2019-06-23T01:06:28.130Z,19.4198,-67.2206,26,2.92,md,4,358,0.9585,0.29,pr,pr2019174005,2019-06-23T05:44:28.871Z,"103km NNW of Isabela, Puerto Rico",earthquake,16.37,16.91,0.22,4,reviewed,pr,pr
2019-06-23T00:28:18.935Z,28.5145,104.9461,10,4.9,mb,,44,7.22,0.72,us,us600044qx,2019-06-23T00:48:14.040Z,"7km SSE of Changning, China",earthquake,8,1.9,0.041,189,reviewed,us,us
2019-06-23T00:21:06.232Z,-21.1026,-173.7902,10,4.9,mww,,63,4.152,1.29,us,us600044qw,2019-06-23T01:01:43.040Z,"123km ENE of `Ohonua, Tonga",earthquake,10.1,1.8,0.073,18,reviewed,us,us
2019-06-23T00:09:30.350Z,19.1461,-66.5143,14,2.59,md,16,276,0.6692,0.34,pr,pr2019174000,2019-06-23T05:43:02.519Z,"75km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,4.37,9.04,0.31,16,reviewed,pr,pr
2019-06-22T22:35:05.667Z,-30.9364,-177.1285,10,4.9,mb,,61,1.822,1.22,us,us600044qh,2019-06-22T23:17:48.040Z,"177km ENE of L'Esperance Rock, New Zealand",earthquake,9.2,1.8,0.096,34,reviewed,us,us
2019-06-22T22:31:38.880Z,14.4508,-92.8307,38.41,5.6,mww,,155,1.102,0.98,us,us600044qf,2019-06-23T00:33:34.744Z,"53km SW of Puerto Madero, Mexico",earthquake,7.3,5,0.068,21,reviewed,us,us
2019-06-22T22:22:39.822Z,23.7204,122.7965,10,4.1,mb,,131,0.769,1.01,us,us600044qe,2019-06-22T22:46:12.040Z,"85km SSW of Yonakuni, Japan",earthquake,4.4,2,0.166,10,reviewed,us,us
2019-06-22T21:48:29.833Z,14.3869,-92.8116,47.49,4.8,mb,,155,1.09,0.88,us,us600044qb,2019-06-22T22:27:37.040Z,"55km SW of Puerto Madero, Mexico",earthquake,7.3,7.2,0.039,206,reviewed,us,us
2019-06-22T21:18:55.417Z,35.4258,27.1857,10,2.9,ml,,199,0.122,1.62,us,us600044sc,2019-06-23T06:06:37.648Z,"9km SSW of Karpathos, Greece",earthquake,2.6,2,0.256,2,reviewed,us,us
2019-06-22T21:00:02.028Z,23.687,122.9761,10,4.3,mb,,188,0.777,0.93,us,us600044q9,2019-06-22T21:53:16.040Z,"86km S of Yonakuni, Japan",earthquake,4.1,1.9,0.148,13,reviewed,us,us
2019-06-22T20:41:42.182Z,-40.1273,175.6869,44.92,4.1,mb,,85,0.539,0.65,us,us600044py,2019-06-22T21:04:59.040Z,"25km NNE of Palmerston North, New Zealand",earthquake,5.1,12.4,0.26,4,reviewed,us,us
2019-06-22T20:00:00.004Z,37.4692,-1.6855,5.4,3.4,mb_lg,,191,0.556,0.37,us,us600044s7,2019-06-23T16:37:16.542Z,"8km NE of Pulpi, Spain",earthquake,7.2,6.8,0.17,9,reviewed,us,us
2019-06-22T19:01:58.139Z,52.38,-172.5964,101.75,3.2,ml,,186,0.999,0.45,us,us600044qq,2019-06-23T00:35:05.040Z,"91km W of Amukta Island, Alaska",earthquake,18.4,15.1,0.105,12,reviewed,us,us
2019-06-22T18:34:33.694Z,-17.0531,171.4991,10,5,mww,,61,4.424,0.58,us,us600044pb,2019-06-22T22:10:59.040Z,"Vanuatu region",earthquake,9,1.8,0.073,18,reviewed,us,us
2019-06-22T18:20:17.130Z,19.3898,-67.9735,32,2.81,md,10,337,1.1203,0.45,pr,pr2019173012,2019-06-22T21:12:41.040Z,"109km NE of Punta Cana, Dominican Republic",earthquake,5.34,30.14,0.35,7,reviewed,pr,pr
2019-06-22T17:01:39.820Z,51.7704,-170.4324,44.15,3.9,mb,,197,1.544,1.26,us,us600044nr,2019-06-22T23:23:11.019Z,"97km S of Yunaska Island, Alaska",earthquake,9.4,11.6,0.048,114,reviewed,us,us
2019-06-22T16:36:20.834Z,-21.9106,-179.2888,598.29,4.9,mb,,99,4.841,0.83,us,us600044nh,2019-06-22T16:52:38.040Z,"152km SSW of Ndoi Island, Fiji",earthquake,12.7,9.5,0.091,38,reviewed,us,us
2019-06-22T16:26:22.766Z,59.7682,-140.9629,5.2,2.9,ml,,,,0.92,ak,ak0197ydnlhg,2019-06-22T20:57:49.040Z,"73km WNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-06-22T15:43:55.928Z,4.4801,127.5813,127.33,4.5,mb,,75,3.253,0.78,us,us600044n4,2019-06-22T15:59:08.040Z,"256km ESE of Sarangani, Philippines",earthquake,5.5,8.3,0.102,28,reviewed,us,us
2019-06-22T14:30:27.608Z,44.7473,148.6537,136.81,4.6,mb,,168,4.386,1.01,us,us600044ms,2019-06-22T14:51:27.040Z,"81km SE of Kuril'sk, Russia",earthquake,9.8,13.5,0.043,162,reviewed,us,us
2019-06-22T14:29:55.811Z,28.4545,104.8963,10,5.3,mww,,79,15.954,0.87,us,us600044mq,2019-06-23T16:54:33.351Z,"13km S of Changning, China",earthquake,11.1,1.9,0.073,18,reviewed,us,us
2019-06-22T14:26:44.665Z,43.8451,-128.2952,10,4.6,mb,,176,3.047,1.24,us,us600044mm,2019-06-23T00:40:04.355Z,"Off the coast of Oregon",earthquake,10.6,2,0.041,177,reviewed,us,us
2019-06-22T14:14:07.300Z,43.8478,-128.3189,10,3.2,ml,,254,3.092,0.81,us,us600044ml,2019-06-22T16:24:23.040Z,"Off the coast of Oregon",earthquake,10,2,0.051,50,reviewed,us,us
2019-06-22T13:46:59.214Z,60.0341,-151.9967,52.7,2.5,ml,,,,0.61,ak,ak0197ybznry,2019-06-22T13:58:22.574Z,"30km NNW of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-06-22T13:40:13.825Z,43.7829,-128.5026,10,4.7,mb,,196,3.174,0.57,us,us600044mf,2019-06-22T18:54:14.976Z,"Off the coast of Oregon",earthquake,4.2,1.9,0.033,280,reviewed,us,us
2019-06-22T13:37:31.541Z,43.8021,-128.5769,10,4.2,mb,,176,3.231,1.04,us,us600044mh,2019-06-22T13:57:32.040Z,"Off the coast of Oregon",earthquake,10,2,0.074,51,reviewed,us,us
2019-06-22T13:29:23.100Z,36.876667,-121.6190033,8.17,3.08,ml,62,32,0.05349,0.1,nc,nc73200946,2019-06-23T17:32:30.460Z,"2km ESE of Aromas, CA",earthquake,0.16,0.36,0.199,22,automatic,nc,nc
2019-06-22T13:16:10.394Z,43.7545,-128.6703,10,4.2,mb,,222,3.348,1.29,us,us600044m7,2019-06-22T13:36:53.040Z,"Off the coast of Oregon",earthquake,13.5,2,0.187,8,reviewed,us,us
2019-06-22T13:00:17.184Z,43.939,-128.402,10,5.4,mww,,169,3.15,1.12,us,us600044ly,2019-06-23T13:03:02.207Z,"Off the coast of Oregon",earthquake,8.4,1.9,0.041,56,reviewed,us,us
2019-06-22T12:52:02.579Z,43.7967,-128.3442,10,5.4,mww,,169,3.068,0.73,us,us600044lu,2019-06-23T12:55:02.035Z,"Off the coast of Oregon",earthquake,8.5,1.9,0.043,53,reviewed,us,us
2019-06-22T12:43:42.375Z,43.8509,-128.487,10,5,mww,,185,3.182,0.94,us,us600044lt,2019-06-23T04:33:59.638Z,"Off the coast of Oregon",earthquake,9,1.9,0.05,38,reviewed,us,us
2019-06-22T12:05:14.190Z,33.1933327,-115.5764999,9.66,3,ml,83,45,0.03644,0.28,ci,ci38426023,2019-06-23T14:05:28.494Z,"8km SW of Niland, CA",earthquake,0.29,0.66,0.408,22,reviewed,ci,ci
2019-06-22T09:10:24.210Z,19.0793,-67.5881,87,2.8,md,17,200,0.7033,0.9,pr,pr2019173010,2019-06-22T13:19:30.223Z,"82km NW of San Antonio, Puerto Rico",earthquake,5.66,7.93,0.24,15,reviewed,pr,pr
2019-06-22T09:07:47.157Z,69.5617,-144.2215,0,2.7,ml,,,,0.85,ak,ak0197y9djja,2019-06-22T09:34:59.040Z,"63km SSW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2019-06-22T08:50:24.926Z,39.219,-99.4308,3,4.5,mwr,,46,0.469,0.51,us,us600044l0,2019-06-23T19:37:00.568Z,"11km W of Plainville, Kansas",earthquake,3.5,2,0.046,46,reviewed,us,us
2019-06-22T08:35:02.490Z,36.264,-89.4655,6.21,2.55,md,40,38,0.03377,0.15,nm,nm60277971,2019-06-23T14:44:11.129Z,"2km E of Ridgely, Tennessee",earthquake,0.23,0.74,0.12,29,reviewed,nm,nm
2019-06-22T07:45:43.619Z,64.9046,-164.7926,7.1,3.1,ml,,,,0.77,ak,ak0197y8et6x,2019-06-22T12:07:45.040Z,"53km NNE of Nome, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-06-22T05:43:05.930Z,19.5588,-66.2798,31,2.76,md,7,320,1.2651,0.33,pr,pr2019173003,2019-06-23T01:27:19.888Z,"121km N of Dorado, Puerto Rico",earthquake,2.22,24.39,0.37,6,reviewed,pr,pr
2019-06-22T05:33:45.376Z,61.5235,-149.924,42.6,3,ml,,,,0.6,ak,ak0197y75dje,2019-06-23T05:35:53.668Z,"1km E of Big Lake, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-06-22T05:17:38.771Z,46.8998,-112.5163,10.91,2.8,ml,,112,0.11,0.59,us,us600044kl,2019-06-23T20:23:01.734Z,"14km ESE of Lincoln, Montana",earthquake,1.9,4.8,0.069,28,reviewed,us,us
2019-06-22T03:56:06.030Z,19.5021,-68.0758,8,3.17,md,22,222,1.1325,0.9,pr,pr2019173000,2019-06-22T21:05:31.040Z,"99km NNE of Punta Cana, Dominican Republic",earthquake,5.74,6.04,0.1,21,reviewed,pr,pr
2019-06-22T01:29:02.387Z,-9.4524,158.261,10,4.8,mb,,37,1.664,0.88,us,us600044jp,2019-06-22T02:24:04.040Z,"176km SSW of Dadali, Solomon Islands",earthquake,9.3,1.9,0.057,96,reviewed,us,us
2019-06-21T23:36:10.740Z,19.4548333,-155.6028333,-1.73,3.14,ml,67,38,0.002992,0.14,hv,hv71003891,2019-06-22T23:37:10.464Z,"27km E of Honaunau-Napoopoo, Hawaii",earthquake,0.14,0.14,0.137,45,reviewed,hv,hv
2019-06-21T23:34:42.375Z,-21.2915,-173.9964,10,5,mb,,99,7.64,0.61,us,us600044it,2019-06-22T09:35:13.981Z,"99km E of `Ohonua, Tonga",earthquake,8.4,1.5,0.037,106,reviewed,us,us
2019-06-21T23:00:22.480Z,-30.7334,-176.8325,10,5.1,mb,,218,1.762,0.78,us,us600044ig,2019-06-21T23:13:20.040Z,"192km SSE of Raoul Island, New Zealand",earthquake,9,2,0.147,15,reviewed,us,us
2019-06-21T22:49:25.464Z,-30.7423,-177.5006,10,5.1,mb,,75,1.537,0.83,us,us600044ie,2019-06-21T23:05:05.040Z,"153km ENE of L'Esperance Rock, New Zealand",earthquake,11.5,1.9,0.071,64,reviewed,us,us
2019-06-21T22:40:58.200Z,36.9781667,-119.6506667,18.52,2.61,md,34,141,0.04794,0.21,nc,nc73200726,2019-06-22T16:22:00.647Z,"6km E of Friant, CA",earthquake,0.38,0.49,0.197,70,reviewed,nc,nc
2019-06-21T22:32:45.690Z,19.469,-65.2736,62,3.22,md,7,331,1.4462,0.22,pr,pr2019172007,2019-06-21T23:18:07.040Z,"128km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.13,13.61,0.06,5,reviewed,pr,pr
2019-06-21T22:03:18.795Z,43.7913,-127.8349,10,3.2,ml,,283,2.714,1.05,us,us600044hk,2019-06-21T22:14:16.040Z,"287km WNW of Bandon, Oregon",earthquake,4.8,2,0.046,62,reviewed,us,us
2019-06-21T21:45:29.405Z,62.204,-150.3248,50.9,2.7,ml,,,,0.73,ak,ak0197wt7i3j,2019-06-22T04:00:09.040Z,"17km SW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-06-21T19:02:44.402Z,75.3052,7.6352,10,4.6,mb,,94,3.755,0.82,us,us600044en,2019-06-21T22:34:17.040Z,"Greenland Sea",earthquake,5.8,1.9,0.091,36,reviewed,us,us
2019-06-21T18:14:33.373Z,21.6033,143.1122,299.75,4.1,mb,,126,5.533,0.5,us,us600044du,2019-06-21T22:17:57.040Z,"219km WNW of Farallon de Pajaros, Northern Mariana Islands",earthquake,10,10.1,0.117,20,reviewed,us,us
2019-06-21T17:09:42.095Z,55.6835,-149.2546,10,3.7,ml,,213,2.718,0.46,us,us600044cq,2019-06-21T17:45:10.023Z,"Gulf of Alaska",earthquake,10.8,2,0.049,54,reviewed,us,us
2019-06-21T16:42:25.495Z,25.7839,95.8195,139.09,4.2,mb,,117,2.072,0.69,us,us600044cg,2019-06-21T19:21:59.040Z,"113km ESE of Tuensang, India",earthquake,7.4,11.3,0.167,10,reviewed,us,us
2019-06-21T15:53:10.702Z,50.5844,175.3755,15.94,3.8,mb,,177,2.291,0.85,us,us600044a3,2019-06-21T17:56:33.738Z,"200km S of Buldir Island, Alaska",earthquake,10,7.3,0.096,28,reviewed,us,us
2019-06-21T15:20:07.718Z,59.8404,-153.0086,93.8,3,ml,,,,0.71,ak,ak0197wphhu6,2019-06-21T16:53:03.040Z,"66km W of Anchor Point, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-06-21T14:34:37.227Z,56.5323,-148.5854,3.2,2.5,ml,,,,0.53,ak,ak0197wozb3o,2019-06-21T15:12:06.842Z,"270km ESE of Kodiak, Alaska",earthquake,,5,,,reviewed,ak,ak
2019-06-21T13:48:36.280Z,18.8396,-67.1598,14,2.69,md,11,267,0.3753,0.28,pr,pr2019172005,2019-06-21T16:35:44.128Z,"38km N of San Antonio, Puerto Rico",earthquake,1.28,2.24,0.19,5,reviewed,pr,pr
2019-06-21T12:22:01.770Z,19.5591,-66.1913,14,4,ml,23,216,1.1335,0.39,pr,pr2019172004,2019-06-21T13:27:19.508Z,"99km N of Brenas, Puerto Rico",earthquake,1.64,4.2,0.24,12,reviewed,pr,pr
2019-06-21T11:21:10.617Z,60.3415,-150.7037,35,3.3,ml,,,,0.71,ak,ak0197wn3zhp,2019-06-22T11:22:58.920Z,"22km S of Sterling, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-06-21T10:27:27.616Z,-8.2786,108.6032,76.57,4.6,mb,,72,1.935,1.01,us,us60004461,2019-06-21T15:45:19.040Z,"54km SSE of Sindangsari, Indonesia",earthquake,7.4,6.8,0.093,35,reviewed,us,us
2019-06-21T10:14:32.716Z,-5.385,152.0502,54.17,4.7,mb,,73,1.191,0.7,us,us6000445u,2019-06-21T13:31:39.040Z,"116km SSW of Kokopo, Papua New Guinea",earthquake,8.2,7.5,0.052,110,reviewed,us,us
2019-06-21T09:59:36.560Z,36.31633333,-97.73516667,7.5,2.86,ml,99,33,0,0.25,ok,ok2019mbeu,2019-06-22T09:14:41.325Z,"15km ENE of Waukomis, Oklahoma",earthquake,,0.5,0.2,36,reviewed,ok,ok
2019-06-21T08:50:16.446Z,-30.9041,-177.488,35,5,mb,,77,1.697,0.83,us,us60004459,2019-06-21T09:34:13.040Z,"146km ENE of L'Esperance Rock, New Zealand",earthquake,5.4,2,0.1,32,reviewed,us,us
